Категория;Секция;Подкатегория;Услуга;Описание;HTML_Opis;Цена;Срок выполнения;Примечания;Ссылка
Serwis Laptopów;Czyszczenie i konserwacja (bez naprawy);;PREMIUM do 2 godzin (pełna konserwacja) (Zakres STANDARD + Porządkowanie okablowania i kanałów powietrznych, Czyszczenie klawiatury i portów wewnętrznych, Aktualizacja BIOS/UEFI (jeśli wskazana), Długie testy obciążeniowe (CPU / GPU / RAM));Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>PREMIUM do 2 godzin (pełna konserwacja) (Zakres STANDARD + Porządkowanie okablowania i kanałów powietrznych, Czyszczenie klawiatury i portów wewnętrznych, Aktualizacja BIOS/UEFI (jeśli wskazana), Długie testy obciążeniowe (CPU / GPU / RAM))</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;200;1-3 dni;;
Serwis Laptopów;Czyszczenie i konserwacja (bez naprawy);;SPECIALNE do 2 godzin (po zalaniu laptopa) (Uwaga!!! Prosimy o wyłączenie laptopa i wyciągnięcie baterii natychmiast po zalaniu. Demontaż całego laptopa, identyfikacja obszarów zalania, czyszczenie lub naprawa niesprawnych elementów i zabezpieczenie antykorozyjne płyty głównej i podzespołów, czyszczenie klawiatury i portów wewnętrznych, testy diagnostyczne elektroniczne i programowe, montaż laptopa. Odkurzenie i oczyszczenie wnętrza laptopa oraz uzupełnienie brakujących śrub – gratis.);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>SPECIALNE do 2 godzin (po zalaniu laptopa)</p><p>(Uwaga!!! Prosimy o wyłączenie laptopa i wyciągnięcie baterii natychmiast po zalaniu. Demontaż całego laptopa, identyfikacja obszarów zalania, czyszczenie lub naprawa niesprawnych elementów i zabezpieczenie antykorozyjne płyty głównej i podzespołów, czyszczenie klawiatury i portów wewnętrznych, testy diagnostyczne elektroniczne i programowe, montaż laptopa. Odkurzenie i oczyszczenie wnętrza laptopa oraz uzupełnienie brakujących śrub – gratis.)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;200 + części;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Instalacja systemu Windows/Linux z aktualizacjami i sterownikami (bez zachowania danych) (Nie instalujemy oprogramowania bez ważnej i legalnej licencji. Pomagamy w zakupie licencji.);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Instalacja systemu Windows/Linux z aktualizacjami i sterownikami (bez zachowania danych) (Nie instalujemy oprogramowania bez ważnej i legalnej licencji. Pomagamy w zakupie licencji.)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;150;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Instalacja systemu z zachowaniem danych;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Instalacja systemu z zachowaniem danych</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;200;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Instalacja systemu operacyjnego MAC OS X;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Instalacja systemu operacyjnego MAC OS X</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;250;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Instalacja i konfiguracja oprogramowania (pakietów biurowych/multimedialnych) / sterowników;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Instalacja i konfiguracja oprogramowania (pakietów biurowych/multimedialnych) / sterowników</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120 / godzinę;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Naprawa i optymalizacja systemu operacyjnego Windows (problemy z uruchomieniem systemu, zapętlanie się przy starcie, restartowanie się, zawieszanie się lub wolna praca);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Naprawa i optymalizacja systemu operacyjnego Windows (problemy z uruchomieniem systemu, zapętlanie się przy starcie, restartowanie się, zawieszanie się lub wolna praca)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Kopia (odzyskanie) danych z uszkodzonego systemu (w przypadku awarii systemu Windows, aby odzyskać dokumenty, zdjęcia, filmy i inne pliki);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Kopia (odzyskanie) danych z uszkodzonego systemu</p><p>(w przypadku awarii systemu Windows, aby odzyskać dokumenty, zdjęcia, filmy i inne pliki)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;150;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Przywracanie systemu z partycji Recovery (jeśli dostępne);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Przywracanie systemu z partycji Recovery (jeśli dostępne)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Rozwiązywanie problemów z aktualizacjami Windows (odzyskiwanie systemu po błędnej aktualizacji / BSOD);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Rozwiązywanie problemów z aktualizacjami Windows (odzyskiwanie systemu po błędnej aktualizacji / BSOD)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100-180;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Odwirusownie (usunięcie wirusów, trojanów, spyware, malware, adware, ransomware i innych złośliwych programów);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Odwirusownie (usunięcie wirusów, trojanów, spyware, malware, adware, ransomware i innych złośliwych programów)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Usunięcie haseł systemowych, zabezpieczających system operacyjny, dysk lub BIOS (jeśli legalne i możliwe);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Usunięcie haseł systemowych, zabezpieczających system operacyjny, dysk lub BIOS (jeśli legalne i możliwe)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Odzyskiwanie haseł użytkownika (jeśli legalne);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Odzyskiwanie haseł użytkownika (jeśli legalne)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Upgrade (aktualizacja) BIOS-u (bez uszkodzenia kości i wylutowania);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Upgrade (aktualizacja) BIOS-u (bez uszkodzenia kości i wylutowania)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;50;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Reset / naprawa / rekonstrukcja UEFI/BIOS ustawień;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Reset / naprawa / rekonstrukcja UEFI/BIOS ustawień</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;80-120;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Reset/odzyskiwanie BIOS/UEFI (po błędnym flashu / update);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Reset/odzyskiwanie BIOS/UEFI (po błędnym flashu / update)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Programowanie BIOS (odczyt / rewrite / flash z pliku);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Programowanie BIOS (odczyt / rewrite / flash z pliku)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Programowanie BIOSu po wylutowaniu w programatorze;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Programowanie BIOSu po wylutowaniu w programatorze</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;150;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Indywidualna konfiguracja/naprawa systemu Windows;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Indywidualna konfiguracja/naprawa systemu Windows</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120 / godzinę;-;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Oprogramowanie;Zdalna pomoc informatyka;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Zdalna pomoc informatyka</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120 / godzinę;-;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana płyty głównej (przekładka + konfiguracja);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana płyty głównej (przekładka + konfiguracja)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;180 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Naprawa płyty głównej (przerwane ścieżki, zimne luty, mikrolutowanie);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Naprawa płyty głównej (przerwane ścieżki, zimne luty, mikrolutowanie)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;200-350 + części;2-7 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana gniazda USB / HDMI / Audio / DC-jack, …;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana gniazda USB / HDMI / Audio / DC-jack, …</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;150 + część;2-5 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana lub przelutowanie uszkodzonego gniazda zasilającego (częste wkładanie/wyciąganie wtyczki zasilacza bądź spowodowane upadkiem laptopa);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana lub przelutowanie uszkodzonego gniazda zasilającego (częste wkładanie/wyciąganie wtyczki zasilacza bądź spowodowane upadkiem laptopa)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;150 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana baterii dla układu CMOS (BIOS) na płycie głównej;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana baterii dla układu CMOS (BIOS) na płycie głównej</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;50-150;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Naprawa układu ładowania (charge controller / MOSFET / BQ / ISL);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Naprawa układu ładowania (charge controller / MOSFET / BQ / ISL)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;180-260 + części;2-7 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana układów zasilania (PU, PD, KBC/EC);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana układów zasilania (PU, PD, KBC/EC)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;220-360 + części;3-7 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana przewodu (zewnętrzny kabel) / gniazda zasilacza;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana przewodu (zewnętrzny kabel) / gniazda zasilacza</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;50 + część;1 dzień;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana / rozbudowa pamięci RAM + test stabilności;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana / rozbudowa pamięci RAM + test stabilności</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;70 + część;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Naprawa problemów z kartą sieciową (sterowniki / usługi / reset);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Naprawa problemów z kartą sieciową (sterowniki / usługi / reset)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;60-120;1 dzień;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana karty Wi-Fi (M.2 / miniPCIe) + konfiguracja;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana karty Wi-Fi (M.2 / miniPCIe) + konfiguracja</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;90 + część;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Naprawa Bluetooth (sterowniki / konflikty / parowanie urządzeń);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Naprawa Bluetooth (sterowniki / konflikty / parowanie urządzeń)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;50-120;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Płyta główna / zasilanie / podzespoły;Wymiana napędu / nagrywarki;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana napędu / nagrywarki</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;50 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Układ chłodzenia i czystość;Diagnostyka układu chłodzenia (pomiar temperatur przed/po czyszczeniu);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Diagnostyka układu chłodzenia (pomiar temperatur przed/po czyszczeniu)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;40;1 dzień;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Układ chłodzenia i czystość;Wymiana wentylatora chłodzenia (montaż nowego);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana wentylatora chłodzenia (montaż nowego)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Układ chłodzenia i czystość;Wymiana radiatora;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana radiatora</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Układ chłodzenia i czystość;Czyszczenie układu chłodzenia w laptopach gamingowych (2-3 wentylatory);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Czyszczenie układu chłodzenia w laptopach gamingowych (2-3 wentylatory)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;220;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Dyski i dane;Diagnoza dysku + SMART / test powierzchni;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Diagnoza dysku + SMART / test powierzchni</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;50;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Dyski i dane;Kopia zapasowa danych;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Kopia zapasowa danych</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Dyski i dane;Migracja danych / klonowanie dysku (stary dysk -> nowy dysk);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Migracja danych / klonowanie dysku (stary dysk -> nowy dysk)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;80-140;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Dyski i dane;Wymiana dysku HDD -> SSD + migracja danych;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana dysku HDD -> SSD + migracja danych</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;130 + nośnik;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Dyski i dane;Montaż dysku M.2 NVMe / SATA (z konfiguracją);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Montaż dysku M.2 NVMe / SATA (z konfiguracją)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120 + część;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Oszacowanie możliwości odzyskania danych z uszkodzonego nośnika;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Oszacowanie możliwości odzyskania danych z uszkodzonego nośnika</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;50;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Odzyskanie danych (usuniętych plików) po skasowaniu ze sprawnego nośnika (dokumenty, zdjęcia lub filmy, przez przypadkowe ich usunięcie, sformatowanie dysku lub przywrócenie systemu Windows);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Odzyskanie danych (usuniętych plików) po skasowaniu ze sprawnego nośnika (dokumenty, zdjęcia lub filmy, przez przypadkowe ich usunięcie, sformatowanie dysku lub przywrócenie systemu Windows)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120-200;1-5 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Odzyskiwanie danych (uszkodzenia logiczne – nośnik (np. dysk twardy) zachował sprawność);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Odzyskiwanie danych (uszkodzenia logiczne – nośnik (np. dysk twardy) zachował sprawność)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;180-260;1-5 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Odzyskanie danych z uszkodzonego nośnika (fizycznie lub elektronicznie uszkodzonych dysków HDD i SSD);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Odzyskanie danych z uszkodzonego nośnika (fizycznie lub elektronicznie uszkodzonych dysków HDD i SSD)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;od 500;5-15 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Odzyskanie / usuwanie danych;Trwałe usuwanie danych;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Trwałe usuwanie danych</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;50;1-2 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Ekran i obudowa;Wymiana uszkodzonej matrycy LCD/LED (standard, bez klejenia);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana uszkodzonej matrycy LCD/LED (standard, bez klejenia)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;180 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Ekran i obudowa;Wymiana taśmy sygnałowej matrycy (brak podświetlenia matrycy);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana taśmy sygnałowej matrycy (brak podświetlenia matrycy)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Ekran i obudowa;Wymiana ramki ekranu (front bezel);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana ramki ekranu (front bezel)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Ekran i obudowa;Wymiana zawiasów;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana zawiasów</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;120 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Ekran i obudowa;Naprawa pękniętych mocowań zawiasów, obudowy (wzmocnienie / klejenie);Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Naprawa pękniętych mocowań zawiasów, obudowy (wzmocnienie / klejenie)</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;140-240;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Ekran i obudowa;Wymiana obudowy – klapy ekranu (pokrywa matrycy) lub obudowy dolnej;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana obudowy – klapy ekranu (pokrywa matrycy) lub obudowy dolnej</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;180 + część;1-3 dni;;
Serwis Laptopów;Naprawy i usługi serwisowe (opcjonalne);Ekran i obudowa;Wymiana kamery internetowej / mikrofonu / audio;Kompleksowa naprawa i konserwacja laptopów wszystkich marek.;<p>Wymiana kamery internetowej / mikrofonu / audio</p><br><p>Kompleksowa naprawa i konserwacja laptopów wszystkich marek.</p>;100 + część;1-3 dni;;
